fullspp,habitat,reef,seagrass,sand,pelagic,ref_1,ref_2
Triakidae.Mustelus.antarcticus,?,FALSE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3260,https://www.fishbase.se/summary/Mustelus-antarcticus
Triglidae.Chelidonichthys.kumu,sand,FALSE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/3752,https://www.fishbase.se/summary/Chelidonichthys-kumu
Triglidae.Lepidotrigla.papilio,"sand, reef",TRUE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/3754,https://www.fishbase.se/summary/SpeciesSummary.php?ID=14324&AT=Al
Trygonorrhinidae.Aptychotrema.vincentiana,"sand, seagrass",FALSE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/1837,https://www.fishbase.se/summary/Aptychotrema-vincentiana
Trygonorrhinidae.Trygonorrhina.dumerilii,"sand, seagrass",FALSE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/1839,https://www.fishbase.se/summary/Trygonorrhina-dumerilii
Unknown.Unknown.Unknown,?,FALSE,FALSE,FALSE,FALSE,,
Urolophidae..spp,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Urolophidae.Trygonoptera.mucosa,"sand, seagrass",FALSE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/4285,https://www.fishbase.se/summary/trygonoptera-mucosa
Urolophidae.Trygonoptera.ovalis,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/1677,https://www.fishbase.se/summary/Trygonoptera-ovalis.html
Urolophidae.Trygonoptera.spp,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Urolophidae.Urolophus.circularis,reef,TRUE,FALSE,FALSE,FALSE,,https://www.fishbase.se/summary/Urolophus-circularis
Veliferidae.Metavelifer.multiradiatus,benthopelagic,FALSE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/4332#summary,https://www.fishbase.se/summary/Metavelifer-multiradiatus.html
Zeidae.Zeus.faber,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1492,https://www.fishbase.se/summary/zeus-faber.html
