OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
GB-BV-068	17	0	1025.07921	520.01980	726.24752	513.13861
GB-BV-068	17	1	868.24752	542.29703	569.41584	527.69307
GB-BV-068	18	0	1405.00990	541.42574	953.54455	550.24752
GB-BV-068	18	1	1558.88119	388.37624	1066.50495	393.98020
GB-BV-068	19	0	980.18812	290.58416	717.43564	289.44554
GB-BV-068	19	1	1111.47525	266.22772	865.05941	263.30693
GB-BV-068	20	0	846.69307	405.23762	587.87129	396.57426
GB-BV-068	20	1	714.81188	442.66337	471.13861	427.46535
GB-BV-068	21	0	1559.40594	423.64356	1548.07921	445.22772
GB-BV-068	21	1	1478.61386	423.34653	1464.31683	442.55446
GB-BV-068	22	0	1578.64356	370.82178	1573.33663	387.47525
GB-BV-068	22	1	1494.58416	387.15842	1487.49505	405.00000
GB-BV-068	23	0	1432.67327	498.93069	1156.97030	514.16832
GB-BV-068	23	1	1565.74257	442.19802	1312.91089	458.92079
GB-BV-068	24	0	1535.00000	317.48515	1479.13861	328.00990
GB-BV-068	24	1	1443.91089	292.53465	1384.88119	302.66337
GB-BV-068	25	0	1493.65347	388.26733	1496.57426	406.05941
GB-BV-068	25	1	1416.02970	398.36634	1416.17822	414.77228
GB-BV-068	26	0	1842.17822	410.58416	1194.50495	411.82178
GB-BV-068	26	1	1563.56436	495.53465	906.38614	497.36634
GB-BV-068	27	0	735.17822	497.92079	595.55446	484.42574
GB-BV-068	27	1	634.58416	572.77228	507.23762	548.38614
GB-BV-068	28	0	1221.26733	258.41584	532.54455	250.69307
GB-BV-068	28	1	1539.08911	209.70297	809.37624	199.00990
GB-BV-068	29	0	490.26733	256.73267	467.38614	251.39604
GB-BV-068	29	1	402.04950	255.54455	394.91089	249.31683
GB-BV-068	30	0	1260.03960	514.89109	1049.94059	523.32673
GB-BV-068	30	1	1133.90099	537.66337	923.80198	541.34653
GB-BV-068	31	0	1233.87129	293.54455	1157.26733	297.18812
GB-BV-068	31	1	1142.78218	303.64356	1061.62376	305.90099
GB-BV-068	32	0	545.83168	469.87129	461.58416	450.76238
GB-BV-068	32	1	633.15842	433.03960	541.78218	419.87129
GB-BV-068	33	0	1498.70297	356.12871	1473.63366	369.34983
GB-BV-068	33	1	1609.65347	338.37184	1602.84158	353.19142
GB-BV-068	34	0	1331.71039	509.77612	1148.37356	521.86567
GB-BV-068	35	0	1095.99161	767.68657	711.18573	761.64179
GB-BV-068	36	0	1097.03960	506.90319	907.63861	507.86029
GB-BV-068	37	0	834.95050	274.99010	970.26733	276.80198
GB-BV-068	38	0	1310.46535	867.06271	688.83168	869.57316
GB-BV-068	38	1	1265.31683	855.84158	660.33663	853.53685
GB-BV-068	39	0	1292.33663	292.95820	1202.29703	297.58636
GB-BV-068	39	1	1538.32673	160.76678	1465.88119	159.04180
GB-BV-068	40	0	1605.12871	141.31793	1686.15842	139.19362
GB-BV-068	40	1	1487.65347	115.13531	1567.11881	111.94829
GB-BV-068	41	0	899.77228	337.12871	856.05941	336.19802
GB-BV-068	41	1	810.06931	334.35644	759.82178	331.84158
GB-BV-068	42	0	1167.57426	335.22772	1158.48515	341.73267
GB-BV-068	42	1	1076.88119	329.68317	1065.41584	333.21782
GB-BV-068	43	0	1354.48515	164.33663	1541.19802	169.48515
GB-BV-068	44	0	1478.60050	246.64609	1615.69975	257.25579
GB-BV-068	45	0	1318.96774	217.70673	1445.53598	224.86549
GB-BV-068	46	0	1124.61787	282.40022	1269.73697	290.97244
GB-BV-068	47	0	1302.57426	191.61056	1377.41584	194.71287
GB-BV-068	47	1	1166.34653	186.00330	1242.66337	189.29483
GB-BV-068	48	0	1622.50495	134.36084	1796.19802	130.31793
GB-BV-068	48	1	1503.24752	130.47085	1649.33663	127.61936
GB-BV-068	49	0	1472.13861	180.61386	1447.70297	180.99010
GB-BV-068	49	1	1185.82178	195.27723	1140.47525	195.88119
GB-BV-068	50	0	768.85149	454.92079	606.80198	443.51485
GB-BV-068	50	1	470.78218	270.86139	360.88119	261.38614
GB-BV-068	51	0	458.08911	310.12871	395.91089	299.03960
GB-BV-068	51	1	735.66337	338.81188	661.66337	333.23762
GB-BV-068	52	0	714.49505	206.65347	682.24752	204.93069
GB-BV-068	52	1	930.73267	180.51485	882.74257	179.68317
GB-BV-068	53	0	662.90099	328.28053	483.06931	319.88449
GB-BV-068	53	1	676.52475	72.15842	484.92079	77.42794
GB-BV-068	54	0	1504.36634	425.09791	1502.01980	446.68097
GB-BV-068	54	1	1470.65347	435.12211	1459.09901	455.95710
GB-BV-068	55	0	1085.45435	549.39179	868.13431	548.99254
GB-BV-068	56	0	1397.62376	485.24862	1317.10891	504.23322
GB-BV-068	56	1	1574.29703	437.51485	1523.15842	462.44444
GB-BV-032	0	0	1124.19727	481.56716	850.19937	479.55224
GB-BV-032	1	0	1044.56576	654.90628	1013.59801	659.66924
GB-BV-032	2	0	1092.20844	798.98567	824.21836	804.93936
GB-BV-032	3	0	105.94059	457.90099	178.25743	443.72277
GB-BV-032	3	1	10.49505	457.30693	91.72277	440.95050
GB-BV-032	4	0	834.68317	877.08911	571.98020	860.37624
GB-BV-032	4	1	667.00000	908.05941	385.95050	876.36634
GB-BV-032	5	0	1552.16832	815.89109	1377.16832	863.47525
GB-BV-032	5	1	1681.07921	834.30693	1522.31683	887.03960
GB-BV-032	6	0	1491.96040	1003.86139	979.89109	1048.31683
GB-BV-032	6	1	1274.51485	1005.19802	799.89109	1034.45545
GB-BV-032	7	0	1305.81188	825.26733	1122.71287	851.27723
GB-BV-032	7	1	1436.30693	826.45545	1261.92079	863.35644
GB-BV-032	8	0	1391.15842	906.25743	1099.82178	940.22772
GB-BV-032	8	1	1250.56436	878.33663	971.90099	901.21782
GB-BV-032	9	0	959.46535	763.71287	830.77228	765.30693
GB-BV-032	9	1	1042.03960	775.79208	915.72277	781.94059
GB-BV-032	10	0	1532.27723	864.79208	1288.34653	912.52475
GB-BV-032	10	1	1709.99010	867.05941	1433.89109	922.62376
GB-BV-032	11	0	810.11881	821.14851	609.71287	806.44554
GB-BV-032	11	1	1573.06931	930.29703	1207.12871	979.00990
GB-BV-032	12	0	911.81188	772.36634	772.87129	770.20792
GB-BV-032	12	1	1459.30693	769.47525	1332.47525	811.83168
GB-BV-032	13	0	1111.39604	892.91089	817.72277	900.08911
GB-BV-032	13	1	422.31683	887.78218	191.42574	833.41584
GB-BV-032	14	0	1190.12871	639.65347	1079.28713	642.99010
GB-BV-032	14	1	1128.76238	732.60396	999.07921	737.28713
GB-BV-032	15	0	1157.87129	558.93069	1079.18812	561.68317
GB-BV-032	15	1	1043.01980	527.24752	967.30693	528.81188
GB-BV-032	16	0	1292.17822	873.32673	1008.33663	894.40594
GB-BV-032	16	1	1397.52475	827.38614	1122.59406	861.73267
GB-BV-032	17	0	1052.32673	827.63366	785.97030	824.53465
GB-BV-032	17	1	933.51485	806.04950	677.85149	801.36634
GB-BV-032	18	0	1227.96040	787.78218	1003.79208	806.03960
GB-BV-032	18	1	1132.51485	786.59406	912.90099	802.87129
GB-BV-032	19	0	429.12871	442.68317	259.42574	431.51485
GB-BV-032	19	1	596.25743	405.65347	429.32673	402.40594
GB-BV-032	20	0	1300.32673	520.81188	1242.64356	529.48515
GB-BV-032	20	1	1190.82178	500.61386	1125.21782	508.49505
GB-BV-032	21	0	1060.35644	382.62376	1010.57426	380.84158
GB-BV-032	21	1	925.00990	356.13861	871.47525	355.94059
GB-BV-032	22	0	1804.35644	999.06931	1124.11881	1070.09901
GB-BV-032	22	1	1441.18812	995.64356	762.77228	1031.28713
GB-BV-032	23	0	1365.54455	343.71287	931.07921	351.41584
GB-BV-032	23	1	1115.41584	416.47525	648.32673	432.64356
GB-BV-032	24	0	1177.21782	821.19802	747.19802	820.92079
GB-BV-032	24	1	1414.20792	725.54455	995.47525	745.81188
GB-BV-032	25	0	1222.33663	669.81188	1201.23762	681.87129
GB-BV-032	25	1	1844.55446	645.94059	1896.03960	688.05941
GB-BV-032	26	0	940.44554	532.40594	893.38614	532.46535
GB-BV-032	26	1	1077.47525	502.90099	1028.83168	503.75248
GB-BV-032	27	0	1283.69307	306.61386	1126.30693	302.04950
GB-BV-032	27	1	1490.83168	235.59406	1350.83168	230.56436
GB-BV-032	28	0	417.04950	977.57426	61.38614	927.79208
GB-BV-052	0	0	1011.36831	513.62687	848.77859	516.06716
GB-BV-052	1	0	1568.66337	621.58526	1612.51485	626.54785
GB-BV-052	1	1	1628.81188	605.72607	1689.14851	610.23982
GB-BV-052	2	0	1689.87129	555.51485	1872.07921	550.32673
GB-BV-052	3	0	586.71287	476.94059	578.09901	475.26733
GB-BV-052	3	1	480.59406	512.95050	467.80198	507.34653
GB-BV-052	4	0	392.00000	345.61386	457.12871	357.36634
GB-BV-052	4	1	533.18812	325.21782	592.77228	333.60396
GB-BV-052	5	0	1759.94059	380.86139	1778.10891	348.81188
GB-BV-052	5	1	1487.93069	314.36634	1484.97030	280.10891
GB-BV-052	6	0	671.34653	330.30693	9.70297	353.32673
GB-BV-052	6	1	748.77228	343.97030	108.91089	360.25743
GB-BV-052	7	0	906.72277	519.37624	902.27723	513.65347
GB-BV-052	7	1	1092.98020	515.50495	1075.54455	508.30693
GB-BV-052	8	0	1627.99010	551.92629	1632.03960	550.94939
GB-BV-052	8	1	975.37624	523.87129	994.67327	496.81408
GB-BV-052	9	0	1234.36634	440.52365	1368.05941	428.57096
GB-BV-052	9	1	1026.89109	427.52365	1161.15842	416.44444
GB-BV-052	10	0	256.63366	66.53465	135.44554	121.18812
GB-BV-052	10	1	969.21782	356.28603	831.68317	349.30693
GB-BV-052	11	0	549.08189	320.30871	670.57072	326.26240
GB-BV-052	12	0	1329.59553	313.19515	1538.23077	282.26461
GB-BV-052	13	0	462.24752	950.76238	223.61386	896.87129
GB-BV-052	13	1	345.41584	990.36634	125.34653	927.36634
GB-BV-052	14	0	872.65347	458.78328	781.19802	455.17712
GB-BV-052	14	1	775.97030	407.91419	683.62376	406.40264
GB-BV-052	15	0	265.36634	608.35974	229.65347	596.28823
GB-BV-052	15	1	342.00000	520.08691	285.33663	518.83058
GB-BV-052	16	0	412.24752	347.12101	61.03960	367.14521
GB-BV-052	16	1	578.38614	413.55446	248.72277	424.83828
GB-BV-052	17	0	281.70297	467.17712	251.08911	468.76018
GB-BV-052	17	1	211.15842	526.57426	169.40594	522.17272
GB-BV-052	18	0	342.91089	290.36744	255.20792	315.31133
GB-BV-052	18	1	419.84158	289.02090	318.17822	311.12211
GB-BV-052	19	0	453.75248	622.37514	359.07921	606.94829
GB-BV-052	19	1	384.24752	662.17272	288.23762	641.50935
GB-BV-052	20	0	353.14851	636.53135	247.00990	617.90099
GB-BV-052	20	1	273.69307	665.97360	171.26733	641.98900
GB-BV-052	21	0	395.40594	536.42134	352.03960	529.50055
GB-BV-052	21	1	288.54455	567.15402	249.40594	555.56326
GB-BV-052	22	0	716.20792	488.32673	655.79208	491.12211
GB-BV-052	22	1	670.19802	403.20022	605.62376	411.89329
GB-BV-052	23	0	889.11881	529.78438	832.42574	524.16172
GB-BV-052	23	1	786.19802	468.59186	731.58416	466.41034
GB-BV-052	24	0	747.12871	355.61056	732.78218	356.16942
GB-BV-052	24	1	823.91089	360.84708	816.69307	357.66557
GB-BV-052	25	0	540.13861	337.72057	401.33663	351.52365
GB-BV-052	25	1	673.52475	340.67987	535.41584	347.55556
GB-BV-052	26	0	318.32673	499.79098	264.42574	499.33443
GB-BV-052	26	1	256.84158	510.26403	200.11881	507.26403
GB-BV-052	27	0	725.50495	557.36854	660.10891	551.51595
GB-BV-052	27	1	643.67327	551.83278	579.16832	547.02750
GB-BV-052	28	0	152.44554	509.25743	141.21782	510.76788
GB-BV-052	28	1	50.04950	486.51595	56.11881	491.46755
GB-BV-052	29	0	929.09901	52.27723	881.83168	46.93069
GB-BV-052	29	1	881.17822	49.30693	831.93069	48.91089
GB-BV-052	30	0	1233.76238	136.12871	1284.57426	101.50495
GB-BV-052	30	1	1203.06931	140.48515	1249.32673	108.43564
GB-BV-052	31	0	371.87129	94.25743	355.25743	135.09901
GB-BV-052	31	1	422.56436	112.47525	403.37624	147.97030
GB-BV-052	32	0	425.93069	17.62376	303.77228	66.78218
GB-BV-052	32	1	489.09901	45.54455	376.04950	87.37624
GB-BV-052	33	0	460.58416	93.26733	321.39604	134.70297
GB-BV-052	33	1	377.21782	44.55446	234.46535	97.87129
GB-BV-052	34	0	223.70297	109.35644	187.73267	163.41584
GB-BV-052	34	1	151.22772	87.97030	119.01980	149.35644
GB-BV-052	35	0	303.10891	79.05941	227.53465	131.33663
GB-BV-052	35	1	347.28713	105.41584	280.00990	149.75248
GB-BV-052	36	0	1112.20792	85.54455	1004.31683	64.75248
GB-BV-052	36	1	1057.15842	108.71287	957.78218	94.65347
GB-BV-052	37	0	1088.24752	51.88119	1025.30693	30.49505
GB-BV-052	37	1	1053.99010	62.97030	982.13861	46.73267
GB-BV-052	38	0	985.47525	59.40594	936.00000	48.31683
GB-BV-052	38	1	953.79208	53.66337	896.99010	46.73267
GB-BV-052	39	0	984.10891	115.52475	918.57426	104.35644
GB-BV-052	39	1	951.83168	127.00990	879.36634	121.78218
GB-BV-052	40	0	1812.87129	212.90099	1699.80198	136.79208
GB-BV-052	40	1	1755.44554	233.49505	1623.56436	159.56436
GB-BV-052	41	0	1724.95050	234.28713	1793.06931	170.05941
GB-BV-052	41	1	1687.12871	247.95050	1736.23762	188.27723
GB-BV-052	42	0	1486.44554	188.99010	1542.66337	136.33663
GB-BV-052	42	1	1449.61386	207.20792	1496.32673	160.29703
GB-BV-052	43	0	534.90099	136.64356	417.92079	166.66337
GB-BV-052	43	1	562.22772	137.83168	458.71287	165.07921
GB-BV-052	44	0	1361.64356	143.40594	1400.06931	98.81188
