Dot Point Measurements

Generated: Tuesday 24 September 2024 10:58:38

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		674	578											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													46.9
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		941	578											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Moderate (1-3m)	2					64.2
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		139	960											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													46.5
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		406	960											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													15.5
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		674	960											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													15.5
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		941	960											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Moderate (1-3m)	2					46.5
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		139	1342											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													64.2
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		406	1342											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													46.9
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		674	1342											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													46.9
GB-BV-005_1_01_20240327_BRUVS 2_L17_GX010012.MP4_0010410.jpg	      0		941	1342											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Moderate (1-3m)	2					64.2
