Dot Point Measurements

Generated: Tuesday 24 September 2024 11:36:53

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
GB-BV-004_1_X.JPG	      0		1828	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													80.2
GB-BV-004_1_X.JPG	      0		3044	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					80.2
GB-BV-004_1_X.JPG	      0		4259	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					100.0
GB-BV-004_1_X.JPG	      0		613	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													74.3
GB-BV-004_1_X.JPG	      0		1828	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													44.1
GB-BV-004_1_X.JPG	      0		3044	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					44.1
GB-BV-004_1_X.JPG	      0		4259	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					74.3
GB-BV-004_1_X.JPG	      0		613	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													63.4
GB-BV-004_1_X.JPG	      0		1828	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													21.1
GB-BV-004_1_X.JPG	      0		3044	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					21.1
GB-BV-004_1_X.JPG	      0		4259	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					63.4
GB-BV-004_1_X.JPG	      0		613	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													74.3
GB-BV-004_1_X.JPG	      0		1828	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													44.1
GB-BV-004_1_X.JPG	      0		3044	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					44.1
GB-BV-004_1_X.JPG	      0		4259	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					74.3
GB-BV-004_1_X.JPG	      0		613	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													100.0
GB-BV-004_1_X.JPG	      0		1828	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1													80.2
GB-BV-004_1_X.JPG	      0		3044	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					80.2
GB-BV-004_1_X.JPG	      0		4259	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-004	1					Relief	High	High (>3m)	3					100.0
GB-BV-005_1_X.JPG	      0		613	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													100.0
GB-BV-005_1_X.JPG	      0		1828	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Moderate (1-3m)	2					80.2
GB-BV-005_1_X.JPG	      0		3044	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					80.2
GB-BV-005_1_X.JPG	      0		4259	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					100.0
GB-BV-005_1_X.JPG	      0		613	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													74.3
GB-BV-005_1_X.JPG	      0		1828	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													44.1
GB-BV-005_1_X.JPG	      0		3044	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					44.1
GB-BV-005_1_X.JPG	      0		4259	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					74.3
GB-BV-005_1_X.JPG	      0		613	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													63.4
GB-BV-005_1_X.JPG	      0		1828	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													21.1
GB-BV-005_1_X.JPG	      0		3044	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					21.1
GB-BV-005_1_X.JPG	      0		4259	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					63.4
GB-BV-005_1_X.JPG	      0		613	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													74.3
GB-BV-005_1_X.JPG	      0		1828	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													44.1
GB-BV-005_1_X.JPG	      0		3044	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					44.1
GB-BV-005_1_X.JPG	      0		4259	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					74.3
GB-BV-005_1_X.JPG	      0		613	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													100.0
GB-BV-005_1_X.JPG	      0		1828	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1													80.2
GB-BV-005_1_X.JPG	      0		3044	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					80.2
GB-BV-005_1_X.JPG	      0		4259	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-005	1					Relief	Low / moderate	Low (<1m)	1					100.0
GB-BV-006_1_X.JPG	      0		613	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													100.0
GB-BV-006_1_X.JPG	      0		1828	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													80.2
GB-BV-006_1_X.JPG	      0		3044	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					80.2
GB-BV-006_1_X.JPG	      0		4259	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	Low / moderate	Moderate (1-3m)	2					100.0
GB-BV-006_1_X.JPG	      0		613	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													74.3
GB-BV-006_1_X.JPG	      0		1828	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													44.1
GB-BV-006_1_X.JPG	      0		3044	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					44.1
GB-BV-006_1_X.JPG	      0		4259	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					74.3
GB-BV-006_1_X.JPG	      0		613	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													63.4
GB-BV-006_1_X.JPG	      0		1828	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													21.1
GB-BV-006_1_X.JPG	      0		3044	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					21.1
GB-BV-006_1_X.JPG	      0		4259	2784											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					63.4
GB-BV-006_1_X.JPG	      0		613	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													74.3
GB-BV-006_1_X.JPG	      0		1828	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													44.1
GB-BV-006_1_X.JPG	      0		3044	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					44.1
GB-BV-006_1_X.JPG	      0		4259	3896											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					74.3
GB-BV-006_1_X.JPG	      0		613	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1													100.0
GB-BV-006_1_X.JPG	      0		1828	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	Low / moderate	Moderate (1-3m)	2					80.2
GB-BV-006_1_X.JPG	      0		3044	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					80.2
GB-BV-006_1_X.JPG	      0		4259	5007											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-006	1					Relief	High	High (>3m)	3					100.0
GB-BV-007_1_X.JPG	      0		613	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-007	1													100.0
GB-BV-007_1_X.JPG	      0		1828	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-007	1													80.2
GB-BV-007_1_X.JPG	      0		3044	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-007	1					Relief	Low / moderate	Low (<1m)	1					80.2
GB-BV-007_1_X.JPG	      0		4259	561											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-007	1					Relief	Flat		0					100.0
GB-BV-007_1_X.JPG	      0		613	1672											2024-04_Geographe_stereo-BRUVs	Yes	GB-BV-007	1													74.3
