"","opcode","fullspp","MaxN","longitude","latitude","depth","status","sd"
"61","CF2-1","Monacanthidae Meuschenia venusta",1,114.9615251,-34.04882763,35,"Fished","preferential"
"62","CF2-1","Mullidae Upeneichthys vlamingii",1,114.9615251,-34.04882763,35,"Fished","preferential"
"63","CF2-1","Scorpididae Scorpis georgiana",1,114.9615251,-34.04882763,35,"Fished","preferential"
"64","CF2-1","Serranidae Caesioperca rasor",1,114.9615251,-34.04882763,35,"Fished","preferential"
"65","CF2-1","Trygonorrhinidae Trygonorrhina dumerilii",1,114.9615251,-34.04882763,35,"Fished","preferential"
"66","CF2-2","Dasyatidae Bathytoshia brevicaudata",1,114.9581501,-34.04885642,34,"Fished","preferential"
"67","CF2-2","Labridae Coris auricularis",1,114.9581501,-34.04885642,34,"Fished","preferential"
"68","CF2-2","Labridae Heteroscarus acroptilus",1,114.9581501,-34.04885642,34,"Fished","preferential"
"69","CF2-2","Labridae Notolabrus parilus",1,114.9581501,-34.04885642,34,"Fished","preferential"
"70","CF2-2","Labridae Olisthops cyanomelas",1,114.9581501,-34.04885642,34,"Fished","preferential"
"71","CF2-2","Labridae Ophthalmolepis lineolatus",6,114.9581501,-34.04885642,34,"Fished","preferential"
"72","CF2-2","Labridae Pictilabrus laticlavius",1,114.9581501,-34.04885642,34,"Fished","preferential"
"73","CF2-2","Labridae Pseudolabrus biserialis",5,114.9581501,-34.04885642,34,"Fished","preferential"
"74","CF2-2","Monacanthidae Acanthaluteres sp1",1,114.9581501,-34.04885642,34,"Fished","preferential"
"75","CF2-2","Monacanthidae Meuschenia flavolineata",1,114.9581501,-34.04885642,34,"Fished","preferential"
"76","CF2-2","Monacanthidae Meuschenia galii",3,114.9581501,-34.04885642,34,"Fished","preferential"
"77","CF2-2","Muraenidae Gymnothorax prasinus",1,114.9581501,-34.04885642,34,"Fished","preferential"
"78","CF2-2","Myliobatidae Myliobatis tenuicaudatus",1,114.9581501,-34.04885642,34,"Fished","preferential"
"79","CF2-2","Pempherididae Pempheris klunzingeri",66,114.9581501,-34.04885642,34,"Fished","preferential"
"80","CF2-2","Pomacentridae Chromis klunzingeri",20,114.9581501,-34.04885642,34,"Fished","preferential"
"81","CF2-2","Urolophidae Trygonoptera spp",1,114.9581501,-34.04885642,34,"Fished","preferential"
"82","CF2-3","Gerreidae Parequula melbournensis",1,114.9615516,-34.04614553,34,"Fished","preferential"
"83","CF2-3","Labridae Coris auricularis",2,114.9615516,-34.04614553,34,"Fished","preferential"
"84","CF2-3","Labridae Notolabrus parilus",1,114.9615516,-34.04614553,34,"Fished","preferential"
"85","CF2-3","Labridae Ophthalmolepis lineolatus",14,114.9615516,-34.04614553,34,"Fished","preferential"
"86","CF2-3","Labridae Pseudolabrus biserialis",4,114.9615516,-34.04614553,34,"Fished","preferential"
"87","CF2-3","Microcanthidae Neatypus obliquus",2,114.9615516,-34.04614553,34,"Fished","preferential"
"88","CF2-3","Monacanthidae Meuschenia flavolineata",1,114.9615516,-34.04614553,34,"Fished","preferential"
"89","CF2-3","Monacanthidae Meuschenia galii",1,114.9615516,-34.04614553,34,"Fished","preferential"
"90","CF2-3","Mullidae Upeneichthys vlamingii",1,114.9615516,-34.04614553,34,"Fished","preferential"
"91","CF2-3","Myliobatidae Myliobatis tenuicaudatus",1,114.9615516,-34.04614553,34,"Fished","preferential"
"92","CF2-3","Pomacentridae Chromis klunzingeri",1,114.9615516,-34.04614553,34,"Fished","preferential"
"93","CF2-3","Serranidae Caesioperca spp",3,114.9615516,-34.04614553,34,"Fished","preferential"
"94","CF2-3","Serranidae Hypoplectrodes nigroruber",1,114.9615516,-34.04614553,34,"Fished","preferential"
"95","CF2-4","Clupeidae Nematalosa vlaminghi",1,114.9614303,-34.05187022,32,"Fished","preferential"
"96","CF2-4","Gerreidae Parequula melbournensis",2,114.9614303,-34.05187022,32,"Fished","preferential"
"97","CF2-4","Labridae Coris auricularis",4,114.9614303,-34.05187022,32,"Fished","preferential"
"98","CF2-4","Labridae Notolabrus parilus",2,114.9614303,-34.05187022,32,"Fished","preferential"
"99","CF2-4","Labridae Olisthops cyanomelas",1,114.9614303,-34.05187022,32,"Fished","preferential"
"100","CF2-4","Labridae Ophthalmolepis lineolatus",10,114.9614303,-34.05187022,32,"Fished","preferential"
"101","CF2-4","Labridae Pictilabrus laticlavius",1,114.9614303,-34.05187022,32,"Fished","preferential"
"102","CF2-4","Labridae Pseudolabrus biserialis",3,114.9614303,-34.05187022,32,"Fished","preferential"
"103","CF2-4","Microcanthidae Neatypus obliquus",4,114.9614303,-34.05187022,32,"Fished","preferential"
"104","CF2-4","Microcanthidae Tilodon sexfasciatus",1,114.9614303,-34.05187022,32,"Fished","preferential"
"105","CF2-4","Monacanthidae Meuschenia flavolineata",1,114.9614303,-34.05187022,32,"Fished","preferential"
"106","CF2-4","Myliobatidae Myliobatis tenuicaudatus",2,114.9614303,-34.05187022,32,"Fished","preferential"
"107","CF2-4","Pempherididae Pempheris klunzingeri",1,114.9614303,-34.05187022,32,"Fished","preferential"
"108","CF2-4","Pomacentridae Chromis klunzingeri",4,114.9614303,-34.05187022,32,"Fished","preferential"
"109","CF2-5","Labridae Anampses geographicus",1,114.9645072,-34.05022763,32,"Fished","preferential"
"110","CF2-5","Labridae Coris auricularis",4,114.9645072,-34.05022763,32,"Fished","preferential"
"111","CF2-5","Labridae Notolabrus parilus",1,114.9645072,-34.05022763,32,"Fished","preferential"
"112","CF2-5","Labridae Ophthalmolepis lineolatus",5,114.9645072,-34.05022763,32,"Fished","preferential"
"113","CF2-5","Labridae Pictilabrus laticlavius",2,114.9645072,-34.05022763,32,"Fished","preferential"
"114","CF2-5","Labridae Pseudolabrus biserialis",5,114.9645072,-34.05022763,32,"Fished","preferential"
"115","CF2-5","Microcanthidae Neatypus obliquus",2,114.9645072,-34.05022763,32,"Fished","preferential"
"116","CF2-5","Muraenidae Gymnothorax prasinus",1,114.9645072,-34.05022763,32,"Fished","preferential"
"117","CF2-5","Pempherididae Pempheris klunzingeri",62,114.9645072,-34.05022763,32,"Fished","preferential"
"118","CF2-5","Scyliorhinidae Aulohalaelurus labiosus",1,114.9645072,-34.05022763,32,"Fished","preferential"
"119","CF3-1","Aracanidae Anoplocapros lenticularis",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"120","CF3-1","Cheilodactylidae Nemadactylus valenciennesi",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"121","CF3-1","Dasyatidae Bathytoshia brevicaudata",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"122","CF3-1","Labridae Austrolabrus maculatus",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"123","CF3-1","Labridae Coris auricularis",3,114.9600988,-34.07060458,35,"No-Take","preferential"
"124","CF3-1","Labridae Notolabrus parilus",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"125","CF3-1","Labridae Ophthalmolepis lineolatus",12,114.9600988,-34.07060458,35,"No-Take","preferential"
"126","CF3-1","Labridae Pictilabrus laticlavius",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"127","CF3-1","Labridae Pseudolabrus biserialis",3,114.9600988,-34.07060458,35,"No-Take","preferential"
"128","CF3-1","Microcanthidae Neatypus obliquus",8,114.9600988,-34.07060458,35,"No-Take","preferential"
"129","CF3-1","Mullidae Upeneichthys vlamingii",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"130","CF3-1","Myliobatidae Myliobatis tenuicaudatus",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"131","CF3-1","Pomacentridae Chromis klunzingeri",7,114.9600988,-34.07060458,35,"No-Take","preferential"
"132","CF3-1","Urolophidae Trygonoptera ovalis",1,114.9600988,-34.07060458,35,"No-Take","preferential"
"133","CF3-2","Caesioscorpididae Caesioscorpis theagenes",6,114.959271,-34.06770152,28,"No-Take","preferential"
"134","CF3-2","Dasyatidae Bathytoshia brevicaudata",1,114.959271,-34.06770152,28,"No-Take","preferential"
"135","CF3-2","Labridae Bodianus frenchii",1,114.959271,-34.06770152,28,"No-Take","preferential"
"136","CF3-2","Labridae Notolabrus parilus",1,114.959271,-34.06770152,28,"No-Take","preferential"
"137","CF3-2","Labridae Olisthops cyanomelas",1,114.959271,-34.06770152,28,"No-Take","preferential"
"138","CF3-2","Labridae Ophthalmolepis lineolatus",4,114.959271,-34.06770152,28,"No-Take","preferential"
"139","CF3-2","Labridae Pictilabrus laticlavius",1,114.959271,-34.06770152,28,"No-Take","preferential"
"140","CF3-2","Labridae Pictilabrus viridis",1,114.959271,-34.06770152,28,"No-Take","preferential"
"141","CF3-2","Labridae Pseudolabrus biserialis",4,114.959271,-34.06770152,28,"No-Take","preferential"
"142","CF3-2","Monacanthidae Meuschenia flavolineata",1,114.959271,-34.06770152,28,"No-Take","preferential"
"143","CF3-2","Monacanthidae Meuschenia galii",1,114.959271,-34.06770152,28,"No-Take","preferential"
"144","CF3-2","Monacanthidae Meuschenia hippocrepis",1,114.959271,-34.06770152,28,"No-Take","preferential"
"145","CF3-2","Urolophidae Trygonoptera ovalis",1,114.959271,-34.06770152,28,"No-Take","preferential"
"146","CF3-3","Carangidae Pseudocaranx spp",21,114.9557442,-34.07025552,33,"No-Take","preferential"
"147","CF3-3","Chaetodontidae Chelmonops curiosus",1,114.9557442,-34.07025552,33,"No-Take","preferential"
"148","CF3-3","Labridae Austrolabrus maculatus",1,114.9557442,-34.07025552,33,"No-Take","preferential"
"149","CF3-3","Labridae Coris auricularis",1,114.9557442,-34.07025552,33,"No-Take","preferential"
"150","CF3-3","Labridae Olisthops cyanomelas",1,114.9557442,-34.07025552,33,"No-Take","preferential"
"151","CF3-3","Labridae Ophthalmolepis lineolatus",6,114.9557442,-34.07025552,33,"No-Take","preferential"
"152","CF3-3","Labridae Pictilabrus laticlavius",1,114.9557442,-34.07025552,33,"No-Take","preferential"
"153","CF3-3","Labridae Pseudolabrus biserialis",5,114.9557442,-34.07025552,33,"No-Take","preferential"
"154","CF3-3","Monacanthidae Meuschenia galii",1,114.9557442,-34.07025552,33,"No-Take","preferential"
