OpCode	x.2.x	x.3.x	Relief0	Relief1	Relief2	Relief3	Relief4	x.2.y	x.3.y	fieldofview.Limited	fieldofview.Open	x.2	x.3	Consolidated	Macroalgae	Seagrasses	Stony.corals	Unconsolidated
GBR1-4	NA	NA	0	1	3	11	0	NA	NA	0	20	NA	NA	11	0	3	0	1
GBR2-1	NA	NA	0	1	7	4	0	NA	NA	0	20	NA	NA	4	0	7	0	1
GBR2-2	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
GBR2-3	NA	NA	0	0	10	0	0	NA	NA	1	19	NA	NA	0	7	3	0	0
GBR2-4	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	5	0	0	0
GBR3-1	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	1	5	0	2
GBR3-2	NA	NA	0	0	4	0	0	NA	NA	0	20	NA	NA	0	4	0	0	0
GBR3-3	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	6	5	0	0
GBR4-1	NA	NA	0	0	0	8	0	NA	NA	0	20	NA	NA	0	8	0	0	0
GBR4-2	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	0
GBR5-1	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	8	0	0	0
GBR5-2	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	8	0	2
GBR5-3	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
GBR-BOB	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	0
RB1	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
RB2	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
RC1	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	3	0	0	7
RC2	NA	NA	0	0	1	10	0	NA	NA	0	19	NA	NA	0	5	5	0	1
RC3	NA	NA	0	0	0	5	0	NA	NA	0	20	NA	NA	0	4	0	1	0
