OpCode	x.2.x	x.3.x	Relief0	Relief1	Relief2	Relief3	Relief4	x.2.y	x.3.y	fieldofview.Limited	fieldofview.Open	x.2	x.3	Consolidated	Macroalgae	Seagrasses	Stony.corals	Unconsolidated
77	NA	NA	0	8	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	8
78	NA	NA	0	0	0	8	0	NA	NA	0	20	NA	NA	0	0	8	0	0
79	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	2	0	8
80	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	4	6	0	0
81	NA	NA	0	6	4	0	0	NA	NA	0	20	NA	NA	0	0	4	0	6
82	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
83	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
84	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
86	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	9	0	1
87	NA	NA	0	0	3	0	0	NA	NA	0	20	NA	NA	0	3	0	0	0
88	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
89	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
90	NA	NA	0	0	0	6	0	NA	NA	0	20	NA	NA	0	0	6	0	0
91	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
92	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
93	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
95	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	10	0	0	0
96	NA	NA	0	0	10	0	0	NA	NA	3	17	NA	NA	0	0	7	0	3
97	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
98	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	9	0	0	0
99	NA	NA	0	0	6	0	0	NA	NA	0	20	NA	NA	0	6	0	0	0
100	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	0
101	NA	NA	0	0	13	0	0	NA	NA	0	20	NA	NA	0	0	8	0	5
102	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
103	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
104	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
106	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	7	0	0
107	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
108	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
110	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
111	NA	NA	0	2	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	2
