OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
CF1-1	0	0	0.00000	1	CF1-1_L9_GX010013.MP4	255726	59.94018
CF1-1	1	0	0.00000	1	CF1-1_R9_GX010011.MP4	253942	59.94006
CF1-2	0	0	0.00000	1	CF1-2_R1_GX010014.MP4	207360	59.94018
CF1-2	0	0	0.00000	1	CF1-2_R1_GX020014.MP4	51612	59.94018
CF1-3	0	0	0.00000	1	CF1-3_L8_GX010011_1.MP4	203520	59.94018
CF1-3	0	0	0.00000	1	CF1-3_L8_GX020011_2.MP4	77746	59.94018
CF1-3	1	0	0.00000	1	CF1-3_R8_GX010005_1.MP4	203520	59.94006
CF1-3	1	0	0.00000	1	CF1-3_R8_GX020005_2.MP4	80390	59.94006
CF1-4	0	0	0.00000	1	CF1-4_L2_GX010014.MP4	273512	59.94018
CF1-4	1	0	0.00000	1	CF1-4_R2_GX010010.MP4	273066	59.94006
CF1-5	0	0	0.00000	1	CF1-5_R4_10014.MP4	260043	59.94018
CF2-1	0	0	0.00000	1	CF2-1_L5_GX010012_1.MP4	195840	59.94018
CF2-1	0	0	0.00000	1	CF2-1_L5_GX020012_2.MP4	99164	59.94018
CF2-1	1	0	0.00000	1	CF2-1_R5_GX010016_1.MP4	192000	59.94006
CF2-1	1	0	0.00000	1	CF2-1_R5_GX020016_2.MP4	101838	59.94006
CF2-2	0	0	0.00000	1	CF2-2_L10__GX010019_1.MP4	199680	59.94018
CF2-2	1	0	0.00000	1	CF2-2_R10__GX010015_1.MP4	195840	59.94006
CF2-2	1	0	0.00000	1	CF2-2_R10__GX020015_2.MP4	108335	59.94006
CF2-3	0	0	0.00000	1	CF2-3_L7_GX010011_1.MP4	226560	59.94018
CF2-3	0	0	0.00000	1	CF2-3_L7_GX020011_2.MP4	77121	59.94018
CF2-3	1	0	0.00000	1	CF2-3_R7_GX010014_1.MP4	211200	59.94006
CF2-3	1	0	0.00000	1	CF2-3_R7_GX020014_2.MP4	94234	59.94006
CF2-4	0	0	0.00000	1	CF2-4_L3_GX010014_1.MP4	291841	59.94018
CF2-4	0	0	0.00000	1	CF2-4_L3_GX020014_2.MP4	646	59.94018
CF2-4	1	0	0.00000	1	CF2-4_R3_GX010015.MP4	291697	59.94006
CF2-5	0	0	0.00000	1	CF2-5_L6_GX010021.MP4	285104	59.94018
CF2-5	1	0	0.00000	1	CF2-5_R6_GX010029.MP4	286885	59.94006
CF3-1	0	0	0.00000	1	CF3-1_L8_GX010014.MP4	265521	59.94018
CF3-1	1	0	0.00000	1	CF3-1_R8_GX010008.MP4	267278	59.94006
CF3-2	0	0	0.00000	1	CF3-2_L1_GX010018.MP4	274907	59.94018
CF3-2	1	0	0.00000	1	CF3-2_R1_GX010017_1.MP4	249600	59.94006
