OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
CNB2-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB2-1.EMObs
CNB2-2	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-2.EMObs
CNB2-3	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-3.EMObs
CNB2-4	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-4.EMObs
CNB2-5	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-5.EMObs
CNB3-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB3-1.EMObs
CNB3-2	1.09	2024 08 13 11:06:07	D:\20240223\	CNB3-2.EMObs
CNB3-3	1.09	2024 08 13 11:06:07	D:\20240223\	CNB3-3.EMObs
CNB3-4	1.09	2024 08 13 11:06:07	F:\20240223\	CNB3-4.EMObs
CNB3-5	1.09	2024 08 13 11:06:07	D:\20240223\	CNB3-5.EMObs
CNB4-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB4-1.EMObs
CNB4-2	1.09	2024 08 13 11:06:07	D:\20240223\	CNB4-2.EMObs
CNB4-3	1.09	2024 08 13 11:06:07	F:\20240223\	CNB4-3.EMObs
CNB4-4	1.09	2024 08 13 11:06:07	F:\20240223\	CNB4-4.EMObs
CNB4-5	1.09	2024 08 13 11:06:07	F:\20240223\	CNB4-5.EMObs
CNB5-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB5-1.EMObs
CNB5-2	1.09	2024 08 13 11:06:07	D:\20240223\	CNB5-2.EMObs
CNB5-3	1.09	2024 08 13 11:06:07	E:\20240223\	CNB5-3.EMObs
CNB5-4	1.09	2024 08 13 11:06:07	G:\20240223\	CNB5-4.EMObs
CNB5-5	1.09	2024 08 13 11:06:07	F:\20240223\	CNB5-5.EMObs
CNB6-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB6-1.EMObs
CNB6-2	1.09	2024 08 13 11:06:07	D:\20240223\	CNB6-2.EMObs
CNB6-3	1.09	2024 08 13 11:06:07	F:\20240223\	CNB6-3.EMObs
CNB6-4	1.09	2024 08 13 11:06:07	D:\20240223\	CNB6-4.EMObs
CNB6-5	1.09	2024 08 13 11:06:07	D:\20240223\	CNB6-5.EMObs
CNB7-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB7-1.EMObs
CNB7-2	1.09	2024 08 13 11:06:07	E:\20240228\	CNB7-2.EMObs
CNB7-3	1.09	2024 08 13 11:06:07	E:\20240228\	CNB7-3.EMObs
CNB7-4	1.09	2024 08 13 11:06:07	D:\20240228\	CNB7-4.EMObs
CNB7-5	1.09	2024 08 13 11:06:07	D:\20240228\	CNB7-5.EMObs
EBG1-4	1.09	2024 08 13 11:06:07	G:\20240223\	EBG1-4.EMObs
EBG2-3	1.09	2024 08 13 11:06:07	G:\20240223\	EBG2-3.EMObs
EBG3-3	1.09	2024 08 13 11:06:07	G:\20240223\	EBG3-3.EMObs
EGB1-1	1.09	2024 08 13 11:06:07	D:\20240223\	EGB1-1.EMObs
EGB1-2	1.09	2024 08 13 11:06:07	F:\20240223\	EGB1-2.EMObs
EGB1-3	1.09	2024 08 13 11:06:07	D:\20240223\	EGB1-3.EMObs
EGB1-4	1.09	2024 08 13 11:06:07	F:\20240223\	EGB1-4.EMObs
EGB1-5	1.09	2024 08 13 11:06:07	F:\20240223\	EGB1-5.EMObs
EGB2-1	1.09	2024 08 13 11:06:07	F:\20240223\	EGB2-1.EMObs
EGB2-2	1.09	2024 08 13 11:06:07	F:\20240223\	EGB2-2.EMObs
EGB2-3	1.09	2024 08 13 11:06:07	D:\20240223\	EGB2-3.EMObs
EGB2-4	1.09	2024 08 13 11:06:07	F:\20240223\	EGB2-4.EMObs
EGB2-5	1.09	2024 08 13 11:06:07	D:\20240223\	EGB2-5.EMObs
EGB3-1	1.09	2024 08 13 11:06:07	D:\20240223\	EGB3-1.EMObs
EGB3-2	1.09	2024 08 13 11:06:07	F:\20240223\	EGB3-2.EMObs
EGB3-3	1.09	2024 08 13 11:06:07	D:\20240223\	EGB3-3.EMObs
EGB3-4	1.09	2024 08 13 11:06:07	F:\20240223\	EGB3-4.EMObs
EGB3-5	1.09	2024 08 13 11:06:07	F:\20240223\	EGB3-5.EMObs
EGB5-1	1.09	2024 08 13 11:06:07	G:\20240223\	EGB5-1.EMObs
EGB5-2	1.09	2024 08 13 11:06:07	G:\20240223\	EGB5-2.EMObs
EGB5-3	1.09	2024 08 13 11:06:07	F:\20240223\	EGB5-3.EMObs
EGB5-4	1.09	2024 08 13 11:06:07	F:\20240223\	EGB5-4.EMObs
EGB5-5	1.09	2024 08 13 11:06:07	F:\20240223\	EGB5-5.EMObs
EGB6-1	1.09	2024 08 13 11:06:07	G:\20240223\	EGB6-1.EMObs
EGB6-2	1.09	2024 08 13 11:06:07	E:\20240223\	EGB6-2.EMObs
EGB6-3	1.09	2024 08 13 11:06:07	D:\20240223\	EGB6-3.EMObs
EGB6-4	1.09	2024 08 13 11:06:07	G:\20240223\	EGB6-4.EMObs
EGB6-5	1.09	2024 08 13 11:06:07	D:\20240223\	EGB6-5.EMObs
EGB7-1	1.09	2024 08 13 11:06:07	D:\20240223\	EGB7-1.EMObs
EGB7-2	1.09	2024 08 13 11:06:07	D:\20240223\	EGB7-2.EMObs
EGB7-3	1.09	2024 08 13 11:06:07	D:\20240223\	EGB7-3.EMObs
EGB7-4	1.09	2024 08 13 11:06:07	G:\20240223\	EGB7-4.EMObs
