Dot Point Measurements

Generated: Tuesday 13 August 2024 11:28:17

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	CampaignID	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	scientific						Radius %
NCMP_2024_CF1-2.jpg	      0		946	756											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-2	1					Substrate	Unconsolidated (soft)							15.8
NCMP_2024_CF1-2.jpg	      0		656	1269											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-2	1					Macroalgae	Erect coarse branching							41.6
NCMP_2024_CF1-2.jpg	      0		779	876											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-2	1					Substrate	Unconsolidated (soft)							8.0
NCMP_2024_CF1-2.jpg	      0		865	1130											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-2	1					Substrate	Unconsolidated (soft)							23.1
NCMP_2024_CF1-2.jpg	      0		1025	655											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-2	1					Substrate	Unconsolidated (soft)							28.2
NCMP_2024_CF1-3.jpg	      0		776	39											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Large canopy-forming							100.0
NCMP_2024_CF1-3.jpg	      0		755	1589											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect coarse branching							79.3
NCMP_2024_CF1-3.jpg	      0		857	1582											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Large canopy-forming							77.9
NCMP_2024_CF1-3.jpg	      0		756	550											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae								42.1
NCMP_2024_CF1-3.jpg	      0		989	817											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Large canopy-forming							20.0
NCMP_2024_CF1-3.jpg	      0		902	1587											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							78.8
NCMP_2024_CF1-3.jpg	      0		993	1233											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Substrate	Unconsolidated (soft)							41.5
NCMP_2024_CF1-3.jpg	      0		727	1006											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect coarse branching							17.3
NCMP_2024_CF1-3.jpg	      0		590	1191											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect coarse branching							43.7
NCMP_2024_CF1-3.jpg	      0		818	1380											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect coarse branching							54.6
NCMP_2024_CF1-3.jpg	      0		822	271											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							73.1
NCMP_2024_CF1-3.jpg	      0		760	398											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							59.2
NCMP_2024_CF1-3.jpg	      0		667	515											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							49.2
NCMP_2024_CF1-3.jpg	      0		867	648											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							29.9
NCMP_2024_CF1-3.jpg	      0		1023	1444											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Substrate	Unconsolidated (soft)							65.5
NCMP_2024_CF1-3.jpg	      0		780	1511											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect coarse branching							70.0
NCMP_2024_CF1-3.jpg	      0		714	121											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							91.4
NCMP_2024_CF1-3.jpg	      0		1073	188											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect fine branching							86.9
NCMP_2024_CF1-3.jpg	      0		975	848											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Large canopy-forming							16.9
NCMP_2024_CF1-3.jpg	      0		955	1196											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-3	1					Macroalgae	Erect coarse branching							36.0
NCMP_2024_CF1-4 .jpg	      0		915	1870											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect coarse branching							72.8
NCMP_2024_CF1-4 .jpg	      0		893	282											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							88.8
NCMP_2024_CF1-4 .jpg	      0		956	1863											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect coarse branching							72.7
NCMP_2024_CF1-4 .jpg	      0		558	1265											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Large canopy-forming							29.2
NCMP_2024_CF1-4 .jpg	      0		1034	1202											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							21.7
NCMP_2024_CF1-4 .jpg	      0		922	1209											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae								11.1
NCMP_2024_CF1-4 .jpg	      0		922	698											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							47.4
NCMP_2024_CF1-4 .jpg	      0		911	534											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect coarse branching							63.6
NCMP_2024_CF1-4 .jpg	      0		697	1440											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Large canopy-forming							31.5
NCMP_2024_CF1-4 .jpg	      0		653	183											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							100.0
NCMP_2024_CF1-4 .jpg	      0		691	801											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect coarse branching							38.4
NCMP_2024_CF1-4 .jpg	      0		644	469											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Large canopy-forming							72.0
NCMP_2024_CF1-4 .jpg	      0		548	1591											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae								52.2
NCMP_2024_CF1-4 .jpg	      0		859	1887											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							74.0
NCMP_2024_CF1-4 .jpg	      0		1002	790											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							41.2
NCMP_2024_CF1-4 .jpg	      0		905	1523											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect coarse branching							38.0
NCMP_2024_CF1-4 .jpg	      0		1063	1576											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect fine branching							48.8
NCMP_2024_CF1-4 .jpg	      0		946	615											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Erect coarse branching							56.1
NCMP_2024_CF1-4 .jpg	      0		623	1705											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Large canopy-forming							59.2
NCMP_2024_CF1-4 .jpg	      0		757	1624											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-4	1					Macroalgae	Large canopy-forming							47.8
NCMP_2024_CF1-5.jpg	      0		637	60											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							77.9
NCMP_2024_CF1-5.jpg	      0		933	831											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect fine branching							17.9
NCMP_2024_CF1-5.jpg	      0		749	1142											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect fine branching							38.5
NCMP_2024_CF1-5.jpg	      0		917	626											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							22.4
NCMP_2024_CF1-5.jpg	      0		939	155											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							68.7
NCMP_2024_CF1-5.jpg	      0		551	1696											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Unscorable								100.0
NCMP_2024_CF1-5.jpg	      0		643	985											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect fine branching							25.7
NCMP_2024_CF1-5.jpg	      0		889	1181											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect coarse branching							44.3
NCMP_2024_CF1-5.jpg	      0		860	96											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Unscorable								73.3
NCMP_2024_CF1-5.jpg	      0		814	921											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect fine branching							15.5
NCMP_2024_CF1-5.jpg	      0		563	106											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							75.0
NCMP_2024_CF1-5.jpg	      0		700	306											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							51.0
NCMP_2024_CF1-5.jpg	      0		935	1325											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect coarse branching							60.3
NCMP_2024_CF1-5.jpg	      0		579	773											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect fine branching							20.6
NCMP_2024_CF1-5.jpg	      0		741	664											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Unscorable								12.8
NCMP_2024_CF1-5.jpg	      0		837	277											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							53.9
NCMP_2024_CF1-5.jpg	      0		623	1553											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Unscorable								83.6
NCMP_2024_CF1-5.jpg	      0		927	952											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Erect fine branching							24.5
NCMP_2024_CF1-5.jpg	      0		705	1286											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							54.1
NCMP_2024_CF1-5.jpg	      0		912	672											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF1-5	1					Macroalgae	Large canopy-forming							18.8
NCMP_2024_CF2-1.jpg	      0		737	1420											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							40.0
NCMP_2024_CF2-1.jpg	      0		789	1254											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							23.1
NCMP_2024_CF2-1.jpg	      0		1067	23											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							100.0
NCMP_2024_CF2-1.jpg	      0		803	201											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							80.1
NCMP_2024_CF2-1.jpg	      0		848	1843											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							80.1
NCMP_2024_CF2-1.jpg	      0		920	651											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect fine branching							37.1
NCMP_2024_CF2-1.jpg	      0		834	1370											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							34.0
NCMP_2024_CF2-1.jpg	      0		1050	676											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect fine branching							39.8
NCMP_2024_CF2-1.jpg	      0		781	1611											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							57.7
NCMP_2024_CF2-1.jpg	      0		730	434											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							58.2
NCMP_2024_CF2-1.jpg	      0		937	614											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect fine branching							41.0
NCMP_2024_CF2-1.jpg	      0		928	1681											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							65.0
NCMP_2024_CF2-1.jpg	      0		833	943											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							7.6
NCMP_2024_CF2-1.jpg	      0		794	1862											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							82.1
NCMP_2024_CF2-1.jpg	      0		606	870											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							26.8
NCMP_2024_CF2-1.jpg	      0		581	1209											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							30.7
NCMP_2024_CF2-1.jpg	      0		717	1463											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							44.5
NCMP_2024_CF2-1.jpg	      0		876	236											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							76.7
NCMP_2024_CF2-1.jpg	      0		1031	1726											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Large canopy-forming							71.3
NCMP_2024_CF2-1.jpg	      0		825	346											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-1	1					Macroalgae	Erect coarse branching							65.8
NCMP_2024_CF2-2.jpg	      0		993	688											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-2	1					Macroalgae	Large canopy-forming							37.3
NCMP_2024_CF2-2.jpg	      0		975	203											2024_02_NgariCapes.MP.Monitoring_stereoBRUVs	no	CF2-2	1					Macroalgae	Large canopy-forming							88.0
