opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,visibility_m,observer_habitat_forward,successful_habitat_forward,dbca_zone,dbca_sanctuary,campaign_id
INB2-1,-33.66957188,114.9817671,2024-02-15T07:58:29+8:00,INB2,Ngari Capes,Fished,28,Yes,Yes,NM,DC,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB2-2,-33.67133987,114.9817064,2024-02-15T08:02:24+8:00,INB2,Ngari Capes,Fished,32,Yes,Yes,NM,DC,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB2-3,-33.67038782,114.9844034,2024-02-15T08:07:07+8:00,INB2,Ngari Capes,Fished,24,Yes,Yes,NM,DC,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB2-4,-33.67260938,114.9851433,2024-02-15T08:10:59+8:00,INB2,Ngari Capes,Fished,21,Yes,No,NM,,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB2-5,-33.66864693,114.9857389,2024-02-15T08:14:32+8:00,INB2,Ngari Capes,Fished,22,Yes,Yes,NM,DC,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB3-1,-33.6830999,114.9766521,2024-02-15T09:32:14+8:00,INB3,Ngari Capes,No-take,26,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB3-2,-33.6810749,114.9779545,2024-02-15T09:35:37+8:00,INB3,Ngari Capes,No-take,28,Yes,No,NM,,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB3-3,-33.68069527,114.9742801,2024-02-15T09:39:07+8:00,INB3,Ngari Capes,No-take,23,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB3-4,-33.6828573,114.9734919,2024-02-15T09:42:06+8:00,INB3,Ngari Capes,No-take,32,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB3-5,-33.68386362,114.9792132,2024-02-15T09:45:34+8:00,INB3,Ngari Capes,No-take,29,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB4-1,-33.69034772,114.9763923,2024-02-15T09:51:41+8:00,INB4,Ngari Capes,No-take,24,Yes,No,NM,,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB4-2,-33.6888825,114.9715957,2024-02-15T09:55:13+8:00,INB4,Ngari Capes,No-take,33,Yes,No,NM,,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB4-3,-33.69059945,114.981131,2024-02-15T09:59:08+8:00,INB4,Ngari Capes,No-take,20,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB4-4,-33.69123563,114.9705134,2024-02-15T10:03:44+8:00,INB4,Ngari Capes,No-take,30,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB4-5,-33.69262608,114.9746377,2024-02-15T10:06:57+8:00,INB4,Ngari Capes,No-take,23,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB5-1,-33.69804967,114.9642947,2024-02-15T11:21:28+8:00,INB5,Ngari Capes,No-take,32,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB5-2,-33.69978345,114.9630359,2024-02-15T11:24:46+8:00,INB5,Ngari Capes,No-take,32,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB5-3,-33.69612962,114.9647219,2024-02-15T11:27:34+8:00,INB5,Ngari Capes,No-take,30,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB5-4,-33.70031718,114.9666633,2024-02-15T11:30:24+8:00,INB5,Ngari Capes,No-take,28,No,No,,,,,,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB5-5,-33.69763068,114.9689095,2024-02-15T11:33:34+8:00,INB5,Ngari Capes,No-take,26,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB6-1,-33.71085332,114.9604437,2024-02-15T11:39:40+8:00,INB6,Ngari Capes,Fished,24,Yes,No,BM,,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB6-2,-33.7118036,114.9576241,2024-02-15T11:42:58+8:00,INB6,Ngari Capes,Fished,29,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB6-3,-33.71303263,114.9606832,2024-02-15T11:46:32+8:00,INB6,Ngari Capes,Fished,27,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB6-4,-33.70897227,114.9588914,2024-02-15T11:49:34+8:00,INB6,Ngari Capes,Fished,27,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB6-5,-33.71173582,114.9627434,2024-02-15T11:52:41+8:00,INB6,Ngari Capes,Fished,25,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
