opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,visibility_m,observer_habitat_forward,successful_habitat_forward,dbca_zone,dbca_sanctuary,campaign_id
CF7-2,-34.14780387,114.9772656,2024-02-18T07:44:54+8:00,CF7,Ngari Capes,Fished,34,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF7-5,-34.14155213,114.9792093,2024-02-18T07:49:00+8:00,CF7,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF7-1,-34.1445476,114.9777757,2024-02-18T07:52:05+8:00,CF7,Ngari Capes,Fished,33,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF7-4,-34.14461112,114.9735967,2024-02-18T07:54:55+8:00,CF7,Ngari Capes,Fished,35,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF6-3,-34.13106193,114.9707304,2024-02-18T08:01:20+8:00,CF6,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF6-2,-34.13100002,114.9651927,2024-02-18T08:04:24+8:00,CF6,Ngari Capes,Fished,37,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF6-1,-34.12747602,114.9704378,2024-02-18T08:09:13+8:00,CF6,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF6-4,-34.12856532,114.9674699,2024-02-18T08:12:38+8:00,CF6,Ngari Capes,Fished,35,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF6-5,-34.12697952,114.9640873,2024-02-18T08:15:26+8:00,CF6,Ngari Capes,Fished,37,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF5-4,-34.10718065,114.9596545,2024-02-18T09:50:30+8:00,CF5,Ngari Capes,No-take,33,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF5-3,-34.10806518,114.956583,2024-02-18T09:53:18+8:00,CF5,Ngari Capes,No-take,38,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF5-5,-34.10528595,114.9542246,2024-02-18T09:55:59+8:00,CF5,Ngari Capes,No-take,40,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF5-1,-34.10426937,114.959977,2024-02-18T09:59:21+8:00,CF5,Ngari Capes,No-take,32,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF5-2,-34.10275713,114.9568119,2024-02-18T10:01:46+8:00,CF5,Ngari Capes,No-take,37,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF4-5,-34.08977418,114.9656054,2024-02-18T10:07:56+8:00,CF4,Ngari Capes,No-take,32,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF4-1,-34.08754717,114.9633138,2024-02-18T10:10:18+8:00,CF4,Ngari Capes,No-take,33,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF4-2,-34.08807385,114.9595879,2024-02-18T10:13:34+8:00,CF4,Ngari Capes,No-take,33,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF4-3,-34.08496047,114.9611276,2024-02-18T10:16:13+8:00,CF4,Ngari Capes,No-take,33,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF4-4,-34.08608947,114.9668564,2024-02-18T10:19:12+8:00,CF4,Ngari Capes,No-take,33,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF3-5,-34.07358433,114.9588213,2024-02-18T11:44:23+8:00,CF3,Ngari Capes,No-take,34,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF3-4,-34.07080053,114.9639244,2024-02-18T11:47:11+8:00,CF3,Ngari Capes,No-take,32,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF3-1,-34.07060458,114.9600988,2024-02-18T11:50:35+8:00,CF3,Ngari Capes,No-take,35,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF3-3,-34.07025552,114.9557442,2024-02-18T11:53:58+8:00,CF3,Ngari Capes,No-take,33,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF3-2,-34.06770152,114.959271,2024-02-18T11:57:33+8:00,CF3,Ngari Capes,No-take,28,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF2-4,-34.05187022,114.9614303,2024-02-18T12:03:02+8:00,CF2,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF2-5,-34.05022763,114.9645072,2024-02-18T12:05:53+8:00,CF2,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF2-1,-34.04882763,114.9615251,2024-02-18T12:10:12+8:00,CF2,Ngari Capes,Fished,35,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF2-2,-34.04885642,114.9581501,2024-02-18T12:13:45+8:00,CF2,Ngari Capes,Fished,34,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF2-3,-34.04614553,114.9615516,2024-02-18T12:16:38+8:00,CF2,Ngari Capes,Fished,34,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL1-4,-34.35533462,115.0657459,2024-02-19T09:09:33+8:00,CL1,Ngari Capes,Fished,22,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL1-2,-34.3555034,115.0617505,2024-02-19T09:12:07+8:00,CL1,Ngari Capes,Fished,28,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL1-3,-34.3584267,115.0614947,2024-02-19T09:14:27+8:00,CL1,Ngari Capes,Fished,30,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL1-1,-34.35738465,115.0641301,2024-02-19T09:17:27+8:00,CL1,Ngari Capes,Fished,26,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL1-5,-34.35769202,115.0671867,2024-02-19T09:19:46+8:00,CL1,Ngari Capes,Fished,22,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL2-2,-34.36200398,115.0727547,2024-02-19T09:22:38+8:00,CL2,Ngari Capes,Fished,26,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL2-4,-34.36365113,115.0701177,2024-02-19T09:25:07+8:00,CL2,Ngari Capes,Fished,29,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL2-5,-34.36632113,115.0706228,2024-02-19T09:29:42+8:00,CL2,Ngari Capes,Fished,29,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL2-1,-34.36453757,115.0729773,2024-02-19T09:31:52+8:00,CL2,Ngari Capes,Fished,27,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL2-3,-34.36383397,115.0758329,2024-02-19T09:35:00+8:00,CL2,Ngari Capes,Fished,22,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL3-5,-34.37658418,115.0898914,2024-02-19T11:04:06+8:00,CL3,Ngari Capes,No-take,25,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL3-2,-34.37802613,115.085734,2024-02-19T11:06:49+8:00,CL3,Ngari Capes,No-take,24,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL3-3,-34.38023438,115.0860879,2024-02-19T11:09:24+8:00,CL3,Ngari Capes,No-take,28,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL3-1,-34.37880013,115.0884664,2024-02-19T11:11:51+8:00,CL3,Ngari Capes,No-take,27,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL3-4,-34.38021182,115.0909157,2024-02-19T11:14:25+8:00,CL3,Ngari Capes,No-take,27,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL4-2,-34.38347382,115.0994062,2024-02-19T11:18:01+8:00,CL4,Ngari Capes,No-take,27,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL4-3,-34.38579242,115.0955289,2024-02-19T11:21:22+8:00,CL4,Ngari Capes,No-take,28,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL4-5,-34.3880188,115.0967954,2024-02-19T11:23:42+8:00,CL4,Ngari Capes,No-take,29,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL4-1,-34.38604443,115.0988379,2024-02-19T11:25:40+8:00,CL4,Ngari Capes,No-take,27,Yes,No,BM,,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL4-4,-34.38606073,115.1019724,2024-02-19T11:27:51+8:00,CL4,Ngari Capes,No-take,26,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL6-3,-34.405634,115.1201434,2024-02-19T13:05:21+8:00,CL6,Ngari Capes,Fished,30,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL6-2,-34.4065293,115.1243669,2024-02-19T13:07:56+8:00,CL6,Ngari Capes,Fished,30,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL6-1,-34.40825513,115.1216204,2024-02-19T13:10:46+8:00,CL6,Ngari Capes,Fished,30,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL6-5,-34.40805912,115.1176383,2024-02-19T13:14:22+8:00,CL6,Ngari Capes,Fished,30,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL6-4,-34.41037335,115.1191248,2024-02-19T13:17:01+8:00,CL6,Ngari Capes,Fished,24,Yes,No,BM,,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL7-2,-34.41323843,115.1293174,2024-02-19T13:20:49+8:00,CL7,Ngari Capes,Fished,31,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL7-4,-34.41584357,115.1332605,2024-02-19T13:24:13+8:00,CL7,Ngari Capes,Fished,31,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL7-1,-34.41614272,115.1300863,2024-02-19T13:27:12+8:00,CL7,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL7-3,-34.41528687,115.1261604,2024-02-19T13:30:03+8:00,CL7,Ngari Capes,Fished,33,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL7-5,-34.41869977,115.1294048,2024-02-19T13:33:15+8:00,CL7,Ngari Capes,Fished,31,No,No,,,,,,General Use,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL5-5,-34.39335053,115.1135813,2024-02-19T15:03:51+8:00,CL5,Ngari Capes,No-take,28,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL5-1,-34.39314682,115.1104418,2024-02-19T15:06:23+8:00,CL5,Ngari Capes,No-take,29,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL5-3,-34.39271745,115.1074262,2024-02-19T15:09:02+8:00,CL5,Ngari Capes,No-take,30,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL5-2,-34.39065872,115.1095405,2024-02-19T15:11:46+8:00,CL5,Ngari Capes,No-take,27,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CL5-4,-34.39080323,115.1130732,2024-02-19T15:13:58+8:00,CL5,Ngari Capes,No-take,27,Yes,Yes,BM,NM,,NM,Yes,Sanctuary,Cape Leeuwin,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
