"","longitude_dd","latitude_dd","sample_url","sample","date_time","depth_m","status","site","location","annotation_parameters","observer_count","observer_length","observer_habitat_downward","observer_habitat_forward","observer_habitat_backward","observer_habitat_panoramic","successful_count","successful_length","successful_habitat_downward","successful_habitat_forward","successful_habitat_backward","successful_habitat_panoramic","map_marker_colour_rgb","synthesis","campaignid","derived_from_sample"
"12",114.9592605,-34.06763163,"https://dev.globalarchive.org/api/data/SynthesisSample/1739601/?format=feather","CF3_2",2019-02-14 07:00:00,34.8,"No-Take","Cf3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"13",114.9557359,-34.0701918,"https://dev.globalarchive.org/api/data/SynthesisSample/1739602/?format=feather","CF3_3",2019-02-14 07:00:00,20,"No-Take","Cf3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"14",114.9639238,-34.07073084,"https://dev.globalarchive.org/api/data/SynthesisSample/1739603/?format=feather","CF3_4",2019-02-14 07:00:00,33.9,"No-Take","Cf3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"15",114.9588267,-34.07351556,"https://dev.globalarchive.org/api/data/SynthesisSample/1739604/?format=feather","CF3_5",2019-02-14 07:00:00,35.4,"No-Take","Cf3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"16",114.9633449,-34.08750563,"https://dev.globalarchive.org/api/data/SynthesisSample/1739605/?format=feather","CF4_1",2019-02-14 02:00:00,33,"No-Take","Cf4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"17",114.9596386,-34.08797862,"https://dev.globalarchive.org/api/data/SynthesisSample/1739606/?format=feather","CF4_2",2019-02-14 02:00:00,34.4,"No-Take","Cf4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"18",114.9611571,-34.08492434,"https://dev.globalarchive.org/api/data/SynthesisSample/1739607/?format=feather","CF4_3",2019-02-14 02:00:00,34.3,"No-Take","Cf4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"19",114.9669061,-34.08604718,"https://dev.globalarchive.org/api/data/SynthesisSample/1739608/?format=feather","CF4_4",2019-02-14 02:00:00,32.8,"No-Take","Cf4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"20",114.9656587,-34.08973027,"https://dev.globalarchive.org/api/data/SynthesisSample/1739609/?format=feather","CF4_5",2019-02-14 02:00:00,32.4,"No-Take","Cf4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"21",114.9599629,-34.10421562,"https://dev.globalarchive.org/api/data/SynthesisSample/1739610/?format=feather","CF5_1",2019-02-14 02:00:00,34,"No-Take","Cf5","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
